OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
8,Polygon Z,200108005,2001,2000,5,Dawson,14498.83091,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,159950.4159,144988309.1
145,Polygon Z,200208007,2002,2000,7,Dawson,206.61683,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,7285.700073,2066168.298
57,Polygon Z,200308014,2003,2000,14,Dawson,6917.03243,30m LandSAT 5 Satellite Imagery,Digitize: Heads-up, ,120299.4548,69170324.35
73,Polygon Z,200308009,2003,2000,9,Dawson,2.85109,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,1025.457826,28510.89801
10,Polygon Z,2004DA009,2004,2000,9,Dawson,34102.42713,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,314008.181,341024271.4
32,Polygon Z,2004DA026,2004,2000,26,Dawson,1716.662411,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,43817.86707,9060205.83
33,Polygon Z,2004DA014,2004,2000,14,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,202679.9108,93283946.12
37,Polygon Z,2004DA013,2004,2000,13,Dawson,6089.6621,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,135117.8327,60896621.07
39,Polygon Z,2004DA021,2004,2000,21,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,116874.7755,34662441.77
50,Polygon Z,2004DA010,2004,2000,10,Dawson,28737.1757,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,247751.5664,153513285.5
